COc1cc(N2CCNCC2)ccc1-c1cnn2cccnc12; [None]; [None]; [0]
Fc1ccc(Nc2cnn3cccnc23)nc1; ['Brc1cnn2cccnc12']; ['Nc1ccc(F)cn1']; [0.999346912]
c1ccc(Nc2cnn3cccnc23)nc1; ['Brc1cnn2cccnc12']; ['Nc1ccccn1']; [0.991860211]
CS(=O)(=O)c1ccc(Cl)c(-c2cnn3cccnc23)c1; [None]; [None]; [0]
c1cnc2c(-c3ccncc3)cnn2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccncc1']; [0.999994397]
c1cc(-c2cnn3cccnc23)c2cccnc2c1; ['Brc1cccc2ncccc12']; ['O=C(O)c1cnn2cccnc12']; [0.994427562]
Oc1cc(-c2cnn3cccnc23)ccc1Cl; [None]; [None]; [0]
c1ccc2c(-c3cnn4cccnc34)n[nH]c2c1; [None]; [None]; [0]
Fc1cccc(F)c1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['OB(O)c1c(F)cccc1F']; [0.99996078]
Clc1cccc(Cl)c1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['OB(O)c1c(Cl)cccc1Cl']; [0.999952435]
Fc1ccc(Oc2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['Oc1ccc(F)cc1']; [0.999930739]
Oc1ccc(-c2cnn3cccnc23)c(Cl)c1; [None]; [None]; [0]
Cc1ncc(-c2cnn3cccnc23)[nH]1; ['Brc1cnn2cccnc12']; ['Cc1ncc[nH]1']; [0.878040731]
Nc1nccc(-c2cnn3cccnc23)n1; [None]; [None]; [0]
O[C@H]1C[C@@H](c2cnn3cccnc23)C1; [None]; [None]; [0]
Clc1ccccc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['OB(O)c1ccccc1Cl']; [0.999972463]
c1cnc2c(-c3cc[nH]c3)cnn2c1; [None]; [None]; [0]
N#Cc1cnc(-c2cnn3cccnc23)cn1; [None]; [None]; [0]
c1cnc2c(-c3cnccn3)cnn2c1; ['Brc1cnn2cccnc12']; ['c1cnccn1']; [0.998145819]
COC(=O)c1ccc(-c2cnn3cccnc23)o1; [None]; [None]; [0]
c1cnc2c(-c3ccoc3)cnn2c1; ['Brc1cnn2cccnc12']; ['CC1(C)OB(c2ccoc2)OC1(C)C']; [0.99999845]
COc1cc(CCc2cnn3cccnc23)ccc1O; [None]; [None]; [0]
N#Cc1ccc(-c2cnn3cccnc23)cn1; ['Brc1cnn2cccnc12']; ['N#Cc1ccc(B(O)O)cn1']; [0.999999285]
Clc1cccc(OCc2cnn3cccnc23)c1; [None]; [None]; [0]
Brc1cccc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12']; ['OB(O)c1cccc(Br)c1']; [0.999911547]
OCCCc1cnn2cccnc12; [None]; [None]; [0]
c1csc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12']; ['OB(O)c1cccs1']; [0.999988556]
Oc1ccc(-c2cnn3cccnc23)c(O)c1; [None]; [None]; [0]
COC(=O)c1ccc(Cl)c(-c2cnn3cccnc23)c1; [None]; [None]; [0]
c1cnc2c(-c3ccncn3)cnn2c1; [None]; [None]; [0]
Clc1ccccc1OCc1cnn2cccnc12; [None]; [None]; [0]
