smiles,subpocket,bool_pains,bool_brenk,bool_ro3,bool_qed,qed,bool_bb,bool_syba,syba,retro_count,bool_retro
Nc1cc2[nH]ccc2cn1,AP,1,1,1,1,0.5658999712435825,0,1,31.192418941068716,,
c1ccc2[nH]cnc2c1,AP,1,1,1,1,0.5583728365871126,1,1,39.49652870819706,14.0,1.0
O=c1ccc2ccc(O)cc2o1,AP,1,0,1,1,0.5969446160833805,1,1,40.220297985190705,,
NC(=O)C1C(=O)NC(=O)NC1=O,AP,1,0,0,0,0.376189662004076,0,0,-3.5125328682918013,,
O=CNc1ncc(S)s1,AP,1,0,1,1,0.5003614800563138,1,0,-11.300389364685149,,
Nc1ncc(Br)c(O)n1,AP,1,1,0,1,0.6251610741094917,0,1,15.795511093089154,,
Nc1ncnc2c[nH]nc12,AP,1,1,0,1,0.5296759293780585,0,1,20.50116397631588,,
O=C1CC(O)=CC=N1,AP,1,1,1,1,0.49238842935940796,0,0,-29.07068497954243,,
c1cnc2[nH]ccc2n1,AP,1,1,1,1,0.5607362152362961,1,1,25.63347115058883,0.0,0.0
O=C1Cc2ccccc2N1,AP,1,1,1,1,0.5653488967385903,1,1,1.0253554500825568,2.0,1.0
c1ccc2scnc2c1,AP,1,1,1,1,0.5397735725540235,1,1,40.1634330620127,80.0,1.0
O=c1c(O)coc2cc(O)ccc12,AP,1,1,0,1,0.6354873593320908,0,1,29.52775319700385,,
Cc1cc(=O)[nH]c2nc(N)ncc12,AP,1,1,0,1,0.6004416363868018,0,1,24.313134522184097,,
C[N@H+]1CC[C@H](Nc2ncccn2)CC1,AP,1,1,1,1,0.6692877532159137,0,1,55.54670027843155,,
c1ccc(Nc2ncccn2)nc1,AP,1,1,0,1,0.7473022593397449,0,1,57.451949335272815,,
O=C(c1ccncc1)c1nc2ncccc2[nH]1,AP,1,1,0,1,0.6706882865650794,0,1,59.539156279540755,,
