CCc1sccc1-c1cnn2cccnc12; [None]; [None]; [0]
Oc1c(Cl)cc(-c2cnn3cccnc23)cc1Cl; [None]; [None]; [0]
Cc1cccc(C)c1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['Cc1cccc(C)c1B(O)O']; [0.999998212]
Nc1cc(-c2cnn3cccnc23)[nH]n1; ['Brc1cnn2cccnc12']; ['Nc1cc(Br)[nH]n1']; [0.989670098]
c1cnc2c(-c3nccs3)cnn2c1; [None]; [None]; [0]
c1cnc2c(-c3ccc4c(c3)CCN4)cnn2c1; [None]; [None]; [0]
c1cnc2c(Nc3ccncc3)cnn2c1; ['Brc1cnn2cccnc12']; ['Nc1ccncc1']; [0.999818385]
O=c1[nH]c2ccc(-c3cnn4cccnc34)cc2[nH]1; [None]; [None]; [0]
Cn1ncc(N)c1-c1cnn2cccnc12; [None]; [None]; [0]
Cc1ccc(-c2cnn3cccnc23)c(C)n1; [None]; [None]; [0]
Fc1cc(Br)ccc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc(Br)cc1F']; [0.999949932]
Cc1csc(-c2cnn3cccnc23)n1; [None]; [None]; [0]
Oc1cc(Br)cc(-c2cnn3cccnc23)c1; [None]; [None]; [0]
Cc1nc2ccc(-c3cnn4cccnc34)cc2o1; [None]; [None]; [0]
c1cnc2c(-c3cnco3)cnn2c1; [None]; [None]; [0]
